lakeid,year4,sampledate,total_biomass,larger_group
ME,1995,1995-01-24,1.9381184706697836,DAPHNIA
ME,1995,1995-04-24,5.451482138637552,DAPHNIA
ME,1995,1995-05-23,10.404539233908142,DAPHNIA
ME,1995,1995-06-06,244.085489889452,DAPHNIA
ME,1995,1995-07-06,89.56536968172229,DAPHNIA
ME,1995,1995-07-18,46.48548423424228,DAPHNIA
ME,1995,1995-08-02,16.674760722190364,DAPHNIA
ME,1995,1995-08-14,10.499236892618852,DAPHNIA
ME,1995,1995-08-30,6.526280191791483,DAPHNIA
ME,1995,1995-09-11,43.949593092699985,DAPHNIA
ME,1995,1995-09-25,40.71830075561966,DAPHNIA
ME,1995,1995-10-11,77.4337637490749,DAPHNIA
ME,1995,1995-10-25,199.17363210159797,DAPHNIA
ME,1995,1995-11-07,143.00148627634388,DAPHNIA
ME,1995,1995-11-21,32.178688156024066,DAPHNIA
ME,1996,1996-02-06,34.67902794838333,DAPHNIA
ME,1996,1996-04-09,7.775108024824268,DAPHNIA
ME,1996,1996-04-17,70.02511797950687,DAPHNIA
ME,1996,1996-05-01,134.35474894759432,DAPHNIA
ME,1996,1996-05-14,521.0753808283315,DAPHNIA
ME,1996,1996-05-28,190.71175108579473,DAPHNIA
ME,1996,1996-06-10,50.88732298043445,DAPHNIA
ME,1996,1996-06-26,219.85388167757563,DAPHNIA
ME,1996,1996-07-08,403.6238033617706,DAPHNIA
ME,1996,1996-07-22,212.179394644905,DAPHNIA
ME,1996,1996-08-05,12.03945106205656,DAPHNIA
ME,1996,1996-08-19,6.423273979759438,DAPHNIA
ME,1996,1996-09-05,16.08241169800177,DAPHNIA
ME,1996,1996-09-16,18.05257562696472,DAPHNIA
ME,1996,1996-10-16,185.2660828556403,DAPHNIA
ME,1996,1996-11-08,162.22712855953233,DAPHNIA
ME,1996,1996-11-25,40.99790049151408,DAPHNIA
ME,1997,1997-01-14,2.5792070077176747,DAPHNIA
ME,1997,1997-02-17,8.648402820387542,DAPHNIA
ME,1997,1997-04-09,20.084687637269553,DAPHNIA
ME,1997,1997-04-21,11.16695763216402,DAPHNIA
ME,1997,1997-05-02,204.81830094388184,DAPHNIA
ME,1997,1997-05-13,353.7624083696815,DAPHNIA
ME,1997,1997-05-28,396.7127776647963,DAPHNIA
ME,1997,1997-06-11,84.07594974391361,DAPHNIA
ME,1997,1997-06-25,336.4436897912505,DAPHNIA
ME,1997,1997-07-09,115.77913035060944,DAPHNIA
ME,1997,1997-07-24,74.10234241028097,DAPHNIA
ME,1997,1997-08-06,101.30064386088527,DAPHNIA
ME,1997,1997-08-18,10.543302039338252,DAPHNIA
ME,1997,1997-09-02,21.94222975093472,DAPHNIA
ME,1997,1997-10-01,26.467418370876075,DAPHNIA
ME,1998,1998-02-06,8.675386099620376,DAPHNIA
ME,1998,1998-03-13,35.845956691511105,DAPHNIA
ME,1998,1998-03-26,35.59493093641684,DAPHNIA
ME,1998,1998-04-10,5.142785905711732,DAPHNIA
ME,1998,1998-04-24,21.370673345016424,DAPHNIA
ME,1998,1998-05-11,102.3273115003104,DAPHNIA
ME,1998,1998-05-28,99.68873007124976,DAPHNIA
ME,1998,1998-06-08,70.12346541196716,DAPHNIA
ME,1998,1998-06-22,48.319430271992275,DAPHNIA
ME,1998,1998-07-06,225.874917306788,DAPHNIA
ME,1998,1998-07-23,32.43425347370896,DAPHNIA
ME,1998,1998-08-02,73.0500211929755,DAPHNIA
ME,1998,1998-08-18,52.35885784623424,DAPHNIA
ME,1998,1998-09-02,14.029047763392644,DAPHNIA
ME,1998,1998-09-28,35.46520430034394,DAPHNIA
ME,1998,1998-10-27,138.10713277677445,DAPHNIA
ME,1998,1998-11-23,177.33728037700848,DAPHNIA
ME,1999,1999-01-25,14.087032833845182,DAPHNIA
ME,1999,1999-02-22,27.90873705051787,DAPHNIA
ME,1999,1999-03-29,224.65867960726897,DAPHNIA
ME,1999,1999-04-12,110.0915865693517,DAPHNIA
ME,1999,1999-04-26,266.6635200959144,DAPHNIA
ME,1999,1999-05-10,81.01125834146157,DAPHNIA
ME,1999,1999-05-26,241.00391450775925,DAPHNIA
ME,1999,1999-06-07,209.07515261112405,DAPHNIA
ME,1999,1999-06-21,52.168875907825694,DAPHNIA
ME,1999,1999-07-06,90.81853125333112,DAPHNIA
ME,1999,1999-07-19,28.222715413730576,DAPHNIA
ME,1999,1999-08-02,30.084643197446873,DAPHNIA
ME,1999,1999-08-16,36.60952528065229,DAPHNIA
ME,1999,1999-08-30,22.79035190208785,DAPHNIA
ME,1999,1999-09-27,93.65235869189372,DAPHNIA
ME,1999,1999-10-26,46.14633272656979,DAPHNIA
ME,1999,1999-11-22,139.29438370070048,DAPHNIA
ME,2000,2000-01-24,33.38233026513085,DAPHNIA
ME,2000,2000-02-28,21.468128171789324,DAPHNIA
ME,2000,2000-03-13,20.520383544386668,DAPHNIA
ME,2000,2000-03-29,43.13597745738901,DAPHNIA
ME,2000,2000-04-10,44.252819317147264,DAPHNIA
ME,2000,2000-04-25,38.734706982650906,DAPHNIA
ME,2000,2000-05-09,213.67759347043213,DAPHNIA
ME,2000,2000-05-22,155.0391866628133,DAPHNIA
ME,2000,2000-06-06,47.066468201133965,DAPHNIA
ME,2000,2000-06-19,89.17555304803658,DAPHNIA
ME,2000,2000-07-03,140.46649701088378,DAPHNIA
ME,2000,2000-07-17,54.58076696652364,DAPHNIA
ME,2000,2000-07-31,11.850611911865744,DAPHNIA
ME,2000,2000-08-16,11.539257690474134,DAPHNIA
ME,2000,2000-08-28,5.444445447217898,DAPHNIA
ME,2000,2000-09-25,10.561206204614695,DAPHNIA
ME,2000,2000-10-24,151.49411146999597,DAPHNIA
